"","appl_no","approval_date1","appl_type","doc_type1","ingredient","df_new","trade_name","productmktstatus","applicant","reviewpriority1","combination_totalnumber","approval_year","generics_presence"
"44","NDA202324",2012-01-27,1,7,"AXITINIB","TABLET;ORAL","INLYTA",1,"PF PRISM CV","STANDARD",0,2012,0
"45","NDA200796",2011-02-25,1,7,"AZILSARTAN KAMEDOXOMIL","TABLET;ORAL","EDARBI",1,"AZURITY","STANDARD",1,2011,1
"46","NDA210854",2018-10-24,1,7,"BALOXAVIR MARBOXIL","TABLET;ORAL","XOFLUZA",1,"GENENTECH INC","PRIORITY",0,2018,0
"47","NDA214410",2020-11-23,1,12,"BALOXAVIR MARBOXIL","FOR SUSPENSION;ORAL","XOFLUZA",1,"GENENTECH INC","STANDARD",NA,2020,0
"48","NDA207924",2018-05-31,1,7,"BARICITINIB","TABLET;ORAL","OLUMIANT",1,"ELI LILLY AND CO","STANDARD",0,2018,0
"49","NDA204384",2012-12-28,1,7,"BEDAQUILINE FUMARATE","TABLET;ORAL","SIRTURO",1,"JANSSEN THERAP","PRIORITY",0,2012,0
"50","NDA206256",2014-07-03,1,7,"BELINOSTAT","POWDER;INTRAVENOUS","BELEODAQ",1,"ACROTECH BIOPHARMA","PRIORITY",0,2014,0
"51","NDA214783",2021-07-16,1,7,"BELUMOSUDIL MESYLATE","TABLET;ORAL","REZUROCK",1,"KADMON PHARMS LLC","PRIORITY",0,2021,0
"52","NDA215383",2021-08-13,1,7,"BELZUTIFAN","TABLET;ORAL","WELIREG",1,"MERCK SHARP DOHME","PRIORITY",0,2021,0
"53","NDA211616",2020-02-21,1,7,"BEMPEDOIC ACID","TABLET;ORAL","NEXLETOL",1,"ESPERION THERAPS INC","STANDARD",0,2020,0
"54","NDA211617",2020-02-26,1,8,"BEMPEDOIC ACID; EZETIMIBE","TABLET;ORAL","NEXLIZET",1,"ESPERION THERAPS INC","STANDARD",0,2020,0
"55","NDA022249",2008-03-20,1,7,"BENDAMUSTINE HYDROCHLORIDE","POWDER;IV (INFUSION)","TREANDA",1,"CEPHALON","PRIORITY",0,2008,1
"56","NDA208194",2015-12-07,1,15,"BENDAMUSTINE HYDROCHLORIDE","SOLUTION;IV (INFUSION)","BENDEKA",1,"EAGLE PHARMS","STANDARD",NA,2015,1
"57","NDA205580",2018-05-15,1,15,"BENDAMUSTINE HYDROCHLORIDE","SOLUTION;INTRAVENOUS","BELRAPZO",1,"EAGLE PHARMS","STANDARD",NA,2018,1
"58","NDA212209",2022-12-07,1,15,"BENDAMUSTINE HYDROCHLORIDE","SOLUTION;INTRAVENOUS","VIVIMUSTA",1,"SLAYBACK PHARMA LLC","STANDARD",NA,2022,1
"59","NDA215033",2022-12-07,1,15,"BENDAMUSTINE HYDROCHLORIDE","SOLUTION;INTRAVENOUS","BENDAMUSTINE HYDROCHLORIDE",1,"APOTEX","STANDARD",NA,2022,1
"60","NDA211530",2022-12-15,1,15,"BENDAMUSTINE HYDROCHLORIDE","SOLUTION;INTRAVENOUS","BENDAMUSTINE HYDROCHLORIDE",3,"HOSPIRA","STANDARD",NA,2022,1
"61","NDA216078",2022-12-15,1,15,"BENDAMUSTINE HYDROCHLORIDE","SOLUTION;INTRAVENOUS","BENDAMUSTINE HYDROCHLORIDE",1,"BAXTER HLTHCARE CORP","STANDARD",NA,2022,1
"62","NDA209570",2017-08-29,1,7,"BENZNIDAZOLE","TABLET;ORAL","BENZNIDAZOLE",1,"CHEMO RESEARCH SL","PRIORITY",0,2017,0
"63","NDA022129",2009-04-09,1,7,"BENZYL ALCOHOL","LOTION;TOPICAL","ULESFIA",3,"SHIONOGI INC","STANDARD",0,2009,0
"64","NDA022288",2009-09-08,1,7,"BEPOTASTINE BESILATE","SOLUTION/DROPS;OPHTHALMIC","BEPREVE",1,"BAUSCH AND LOMB INC","STANDARD",0,2009,1
"65","NDA217424",2024-01-05,1,7,"BERDAZIMER SODIUM","GEL;TOPICAL","ZELSUVMI",1,"LNHC","STANDARD",0,2024,0
"66","NDA214094",2020-12-03,1,7,"BEROTRALSTAT HYDROCHLORIDE","CAPSULE;ORAL","ORLADEYO",1,"BIOCRYST","STANDARD",0,2020,0
"67","NDA022308",2009-05-28,1,7,"BESIFLOXACIN HYDROCHLORIDE","SUSPENSION/DROPS;OPHTHALMIC","BESIVANCE",1,"BAUSCH AND LOMB","STANDARD",0,2009,0
"68","NDA208383",2017-06-23,1,7,"BETRIXABAN","CAPSULE;ORAL","BEVYXXA",3,"PORTOLA PHARMS INC","PRIORITY",0,2017,0
"69","NDA214373",2023-01-20,1,7,"BEXAGLIFLOZIN","TABLET;ORAL","BRENZAVVY",1,"THERACOSBIO","STANDARD",0,2023,0
"70","NDA210251",2018-02-07,1,8,"BICTEGRAVIR SODIUM; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE","TABLET;ORAL","BIKTARVY",1,"GILEAD SCIENCES INC","PRIORITY",0,2018,0
"71","NDA210498",2018-06-27,1,7,"BINIMETINIB","TABLET;ORAL","MEKTOVI",1,"ARRAY BIOPHARMA INC","STANDARD",0,2018,0
"72","NDA215064",2023-12-18,1,7,"BIRCH TRITERPENES","GEL;TOPICAL","FILSUVEZ",1,"CHIESI","PRIORITY",0,2023,0
"73","NDA202258",2011-05-13,1,8,"BOCEPREVIR","CAPSULE;ORAL","VICTRELIS",3,"MERCK SHARP DOHME","PRIORITY",0,2011,0
"74","NDA203341",2012-09-04,1,7,"BOSUTINIB MONOHYDRATE","TABLET;ORAL","BOSULIF",1,"PF PRISM CV","STANDARD",0,2012,0
"75","NDA217729",2023-09-26,1,12,"BOSUTINIB MONOHYDRATE","CAPSULE;ORAL","BOSULIF",1,"PF PRISM CV","PRIORITY",NA,2023,0
"76","NDA210557",2019-06-21,1,7,"BREMELANOTIDE ACETATE","SOLUTION;SUBCUTANEOUS","VYLEESI (AUTOINJECTOR)",1,"COSETTE","STANDARD",0,2019,0
"77","NDA211371",2019-03-19,1,7,"BREXANOLONE","SOLUTION;INTRAVENOUS","ZULRESSO",1,"SAGE THERAP","PRIORITY",0,2019,0
"78","NDA205422",2015-07-10,1,7,"BREXPIPRAZOLE","TABLET;ORAL","REXULTI",1,"OTSUKA","STANDARD",0,2015,1
"79","NDA208772",2017-04-28,1,7,"BRIGATINIB","TABLET;ORAL","ALUNBRIG",1,"TAKEDA PHARMS USA","PRIORITY",0,2017,0
"80","NDA209569",2019-12-20,1,7,"BRILLIANT BLUE G","SOLUTION;OPHTHALMIC","TISSUEBLUE",1,"DUTCH OPHTHALMIC","PRIORITY",0,2019,0
"81","NDA205836",2016-02-18,1,7,"BRIVARACETAM","TABLET;ORAL","BRIVIACT",1,"UCB INC","STANDARD",0,2016,1
"82","NDA205837",2016-02-18,1,12,"BRIVARACETAM","SOLUTION;INTRAVENOUS","BRIVIACT",1,"UCB INC","STANDARD",NA,2016,1
"83","NDA205838",2016-02-18,1,12,"BRIVARACETAM","SOLUTION;ORAL","BRIVIACT",1,"UCB INC","STANDARD",NA,2016,1
"84","NDA201023",2010-06-17,1,7,"CABAZITAXEL","SOLUTION;INTRAVENOUS","JEVTANA KIT",1,"SANOFI AVENTIS US","PRIORITY",0,2010,1
"85","NDA207949",2021-12-29,1,15,"CABAZITAXEL","SOLUTION;INTRAVENOUS","CABAZITAXEL",1,"ACCORD HLTHCARE","STANDARD",NA,2021,1
"86","NDA207970",2024-03-14,1,15,"CABAZITAXEL","SOLUTION;INTRAVENOUS","CABAZITAXEL",1,"ACTAVIS","STANDARD",NA,2024,1
"87","NDA212888",2021-01-21,1,8,"CABOTEGRAVIR; RILPIVIRINE","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","CABENUVA KIT",1,"VIIV HLTHCARE","PRIORITY",0,2021,0
"88","NDA203756",2012-11-29,1,7,"CABOZANTINIB S-MALATE","CAPSULE;ORAL","COMETRIQ",1,"EXELIXIS","PRIORITY",0,2012,0
"89","NDA208692",2016-04-25,1,12,"CABOZANTINIB S-MALATE","TABLET;ORAL","CABOMETYX",1,"EXELIXIS INC","PRIORITY",NA,2016,0
"90","NDA204042",2013-03-29,1,7,"CANAGLIFLOZIN","TABLET;ORAL","INVOKANA",1,"JANSSEN PHARMS","STANDARD",2,2013,0
"91","NDA204958",2015-06-22,1,7,"CANGRELOR","POWDER;INTRAVENOUS","KENGREAL",1,"CHIESI","STANDARD",0,2015,0
"92","NDA210365",2018-06-25,1,7,"CANNABIDIOL","SOLUTION;ORAL","EPIDIOLEX",1,"JAZZ PHARMS RES","PRIORITY",0,2018,0
"93","NDA218197",2023-11-16,1,7,"CAPIVASERTIB","TABLET;ORAL","TRUQAP",1,"ASTRAZENECA","PRIORITY",0,2023,0
"94","NDA213591",2020-05-06,1,7,"CAPMATINIB HYDROCHLORIDE","TABLET;ORAL","TABRECTA",1,"NOVARTIS PHARM","PRIORITY",0,2020,0
"95","NDA022395",2009-11-16,1,7,"CAPSAICIN","PATCH;TOPICAL","QUTENZA",1,"AVERITAS","STANDARD",0,2009,0
"96","NDA202714",2012-07-20,1,7,"CARFILZOMIB","POWDER;INTRAVENOUS","KYPROLIS",1,"ONYX PHARMS AMGEN","STANDARD",0,2012,1
"97","NDA022562",2010-03-18,1,7,"CARGLUMIC ACID","TABLET, FOR SUSPENSION;ORAL","CARBAGLU",1,"RECORDATI RARE","PRIORITY",0,2010,1
"98","NDA204370",2015-09-17,1,7,"CARIPRAZINE HYDROCHLORIDE","CAPSULE;ORAL","VRAYLAR",1,"ABBVIE","STANDARD",0,2015,1
"99","NDA213026",2021-02-25,1,7,"CASIMERSEN","SOLUTION;INTRAVENOUS","AMONDYS 45",1,"SAREPTA THERAPS INC","PRIORITY",0,2021,0
"100","NDA212576",2020-07-07,1,8,"CEDAZURIDINE; DECITABINE","TABLET;ORAL","INQOVI",1,"OTSUKA","PRIORITY",0,2020,0
"101","NDA216165",2024-02-22,1,8,"CEFEPIME HYDROCHLORIDE; ENMETAZOBACTAM","POWDER;INTRAVENOUS","EXBLIFEP",1,"ALLECRA THERAPS","PRIORITY",0,2024,0
"102","NDA209445",2019-11-14,1,7,"CEFIDEROCOL SULFATE TOSYLATE","POWDER;INTRAVENOUS","FETROJA",1,"SHIONOGI INC","PRIORITY",0,2019,0
"103","NDA200327",2010-10-29,1,7,"CEFTAROLINE FOSAMIL","POWDER;INTRAVENOUS","TEFLARO",1,"ABBVIE","STANDARD",0,2010,1
"104","NDA218275",2024-04-03,1,7,"CEFTOBIPROLE MEDOCARIL SODIUM","POWDER;INTRAVENOUS","ZEVTERA",1,"BASILEA PHARM ALLSCH","PRIORITY",0,2024,0
"105","NDA212839",2019-11-21,1,7,"CENOBAMATE","TABLET;ORAL","XCOPRI",1,"SK LIFE","STANDARD",0,2019,0
"106","NDA205755",2014-04-29,1,7,"CERITINIB","CAPSULE;ORAL","ZYKADIA",3,"NOVARTIS","PRIORITY",0,2014,0
"107","NDA205750",2015-03-17,1,7,"CHOLIC ACID","CAPSULE;ORAL","CHOLBAM",1,"MIRUM","PRIORITY",0,2015,0
"108","NDA203155",2012-09-12,1,7,"CHOLINE C-11","INJECTABLE;INTRAVENOUS","CHOLINE C-11",1,"MCPRF","PRIORITY",0,2012,1
"109","NDA213433",2020-08-26,1,7,"CLASCOTERONE","CREAM;TOPICAL","WINLEVI",1,"SUN PHARM","STANDARD",0,2020,0
"110","NDA022156",2008-08-01,1,7,"CLEVIDIPINE","EMULSION;INTRAVENOUS","CLEVIPREX",1,"CHIESI","STANDARD",0,2008,0
"111","NDA202067",2011-10-21,1,7,"CLOBAZAM","TABLET;ORAL","ONFI",1,"LUNDBECK PHARMS LLC","STANDARD",0,2011,1
"112","NDA203993",2012-12-14,1,12,"CLOBAZAM","SUSPENSION;ORAL","ONFI",1,"LUNDBECK PHARMS LLC","STANDARD",NA,2012,1
"113","NDA210833",2018-11-01,1,12,"CLOBAZAM","FILM;ORAL","SYMPAZAN",1,"OTTER PHARMS","STANDARD",NA,2018,1
"114","NDA207561",2015-11-05,1,8,"COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE","TABLET;ORAL","GENVOYA",1,"GILEAD SCIENCES INC","STANDARD",1,2015,0
"115","NDA203100",2012-08-27,1,8,"COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","TABLET;ORAL","STRIBILD",1,"GILEAD SCIENCES INC","STANDARD",0,2012,0
"116","NDA206192",2015-11-10,1,7,"COBIMETINIB FUMARATE","TABLET;ORAL","COTELLIC",1,"GENENTECH INC","PRIORITY",0,2015,0
"117","NDA209936",2017-09-14,1,7,"COPANLISIB DIHYDROCHLORIDE","POWDER;INTRAVENOUS","ALIQOPA",3,"BAYER HEALTHCARE","PRIORITY",0,2017,0
"118","NDA213227",2020-09-03,1,7,"COPPER CU-64 DOTATATE","SOLUTION;INTRAVENOUS","DETECTNET",1,"RADIOMEDIX","PRIORITY",0,2020,0
"119","NDA207695",2016-12-14,1,7,"CRISABOROLE","OINTMENT;TOPICAL","EUCRISA",1,"ANACOR PHARMS INC","STANDARD",0,2016,0
"120","NDA202570",2011-08-26,1,7,"CRIZOTINIB","CAPSULE;ORAL","XALKORI",1,"PF PRISM CV","PRIORITY",0,2011,0
"121","NDA202292",2012-12-31,1,7,"CROFELEMER","TABLET, DELAYED RELEASE;ORAL","MYTESI",1,"NAPO PHARMS INC","PRIORITY",0,2012,0
"122","NDA022512",2010-10-19,1,7,"DABIGATRAN ETEXILATE MESYLATE","CAPSULE;ORAL","PRADAXA",1,"BOEHRINGER INGELHEIM","PRIORITY",0,2010,1
"123","NDA214358",2021-06-21,1,12,"DABIGATRAN ETEXILATE MESYLATE","PELLETS;ORAL","PRADAXA",1,"BOEHRINGER INGELHEIM","PRIORITY",NA,2021,1
"124","NDA202806",2013-05-29,1,7,"DABRAFENIB MESYLATE","CAPSULE;ORAL","TAFINLAR",1,"NOVARTIS","STANDARD",0,2013,0
"125","NDA217514",2023-03-16,1,15,"DABRAFENIB MESYLATE","CAPSULE;ORAL","TAFINLAR",1,"NOVARTIS","PRIORITY",NA,2023,0
"126","NDA217514",2023-03-16,1,15,"DABRAFENIB MESYLATE","TABLET, FOR SUSPENSION;ORAL","TAFINLAR",1,"NOVARTIS","PRIORITY",NA,2023,0
"127","NDA217514",2023-03-16,1,15,"DABRAFENIB MESYLATE","TABLET;ORAL SUSPENSION","TAFINLAR",1,"NOVARTIS","PRIORITY",NA,2023,0
"128","NDA206843",2015-07-24,1,7,"DACLATASVIR DIHYDROCHLORIDE","TABLET;ORAL","DAKLINZA",3,"BRISTOL-MYERS SQUIBB","PRIORITY",0,2015,0
"129","NDA211288",2018-09-27,1,7,"DACOMITINIB","TABLET;ORAL","VIZIMPRO",1,"PFIZER","PRIORITY",0,2018,0
"130","NDA021883",2014-05-23,1,7,"DALBAVANCIN HYDROCHLORIDE","POWDER;INTRAVENOUS","DALVANCE",1,"ABBVIE","PRIORITY",0,2014,0
"131","NDA022250",2010-01-22,1,7,"DALFAMPRIDINE","TABLET, EXTENDED RELEASE;ORAL","AMPYRA",1,"ACORDA","PRIORITY",0,2010,1
"132","NDA218037",2024-03-29,1,7,"DANICOPAN","TABLET;ORAL","VOYDEYA",1,"ALEXION PHARMS INC","STANDARD",0,2024,0
"133","NDA202293",2014-01-08,1,7,"DAPAGLIFLOZIN","TABLET;ORAL","FARXIGA",1,"ASTRAZENECA AB","STANDARD",3,2014,0
"134","NDA216951",2023-02-01,1,7,"DAPRODUSTAT","TABLET;ORAL","JESDUVROQ",1,"GLAXOSMITHKLINE","STANDARD",0,2023,0
"135","NDA214985",2022-01-07,1,7,"DARIDOREXANT HYDROCHLORIDE","TABLET;ORAL","QUVIVIQ",1,"IDORSIA","STANDARD",0,2022,0
"136","NDA212099",2019-07-30,1,7,"DAROLUTAMIDE","TABLET;ORAL","NUBEQA",1,"BAYER HEALTHCARE","PRIORITY",0,2019,0
"137","NDA214231",2021-03-22,1,7,"DASIGLUCAGON HYDROCHLORIDE","SOLUTION;SUBCUTANEOUS","ZEGALOGUE",1,"ZEALAND PHARMA","STANDARD",0,2021,0
"138","NDA021825",2011-10-14,1,7,"DEFERIPRONE","TABLET;ORAL","FERRIPROX",1,"CHIESI","STANDARD",0,2011,1
"139","NDA208030",2015-09-09,1,12,"DEFERIPRONE","SOLUTION;ORAL","FERRIPROX",1,"CHIESI","STANDARD",NA,2015,1
"140","NDA212269",2020-05-19,1,15,"DEFERIPRONE","TABLET;ORAL","FERRIPROX",1,"CHIESI","STANDARD",NA,2020,1
"141","NDA208114",2016-03-30,1,7,"DEFIBROTIDE SODIUM","SOLUTION;INTRAVENOUS","DEFITELIO",1,"JAZZ PHARMS INC","PRIORITY",0,2016,0
"142","NDA208684",2017-02-09,1,7,"DEFLAZACORT","TABLET;ORAL","EMFLAZA",1,"PTC THERAP","PRIORITY",0,2017,1
"143","NDA208685",2017-02-09,1,7,"DEFLAZACORT","SUSPENSION;ORAL","EMFLAZA",1,"PTC THERAP","PRIORITY",0,2017,1
"144","NDA022201",2008-12-24,1,7,"DEGARELIX ACETATE","POWDER;SUBCUTANEOUS","FIRMAGON",1,"FERRING","STANDARD",0,2008,0
"145","NDA208610",2017-06-19,1,7,"DELAFLOXACIN MEGLUMINE","TABLET;ORAL","BAXDELA",1,"MELINTA","PRIORITY",0,2017,0
"146","NDA208611",2017-06-19,1,12,"DELAFLOXACIN MEGLUMINE","POWDER;INTRAVENOUS","BAXDELA",1,"MELINTA","PRIORITY",NA,2017,0
"147","NDA206333",2015-04-29,1,7,"DEOXYCHOLIC ACID","SOLUTION;SUBCUTANEOUS","KYBELLA",1,"ABBVIE","STANDARD",0,2015,1
"148","NDA021992",2008-02-29,1,7,"DESVENLAFAXINE SUCCINATE","TABLET, EXTENDED RELEASE;ORAL","PRISTIQ",1,"PF PRISM CV","STANDARD",0,2008,1
"149","NDA205208",2013-10-11,1,15,"DESVENLAFAXINE SUCCINATE","TABLET, EXTENDED RELEASE;ORAL","DESVENLAFAXINE",3,"TEVA PHARMS USA","STANDARD",NA,2013,1
"150","NDA205583",2014-01-28,1,15,"DESVENLAFAXINE SUCCINATE","TABLET, EXTENDED RELEASE;ORAL","DESVENLAFAXINE",3,"SUN PHARM","STANDARD",NA,2014,1
"151","NDA214958",2022-09-09,1,7,"DEUCRAVACITINIB","TABLET;ORAL","SOTYKTU",1,"BRISTOL","STANDARD",0,2022,0
"152","NDA208082",2017-04-03,1,7,"DEUTETRABENAZINE","TABLET;ORAL","AUSTEDO",1,"TEVA BRANDED PHARM","STANDARD",0,2017,0
"153","NDA214916",2021-08-23,1,7,"DIFELIKEFALIN ACETATE","SOLUTION;INTRAVENOUS","KORSUVA",1,"CARA THERAP","PRIORITY",0,2021,0
"154","NDA022212",2008-06-23,1,7,"DIFLUPREDNATE","EMULSION;OPHTHALMIC","DUREZOL",1,"SANDOZ","PRIORITY",0,2008,1
"155","NDA204063",2013-03-27,1,7,"DIMETHYL FUMARATE","CAPSULE, DELAYED RELEASE;ORAL","TECFIDERA",1,"BIOGEN INC","STANDARD",0,2013,1
"156","NDA204790",2013-08-12,1,7,"DOLUTEGRAVIR SODIUM","TABLET;ORAL","TIVICAY",1,"VIIV HLTHCARE","PRIORITY",3,2013,0
"157","NDA213983",2020-06-12,1,12,"DOLUTEGRAVIR SODIUM","TABLET, FOR SUSPENSION;ORAL","TIVICAY PD",1,"VIIV HLTHCARE","PRIORITY",NA,2020,0
"158","NDA215319",2023-04-28,1,15,"DOLUTEGRAVIR SODIUM","FILM;ORAL","DOLUTEGRAVIR",1,"LAURUS GENERICS INC","PRIORITY",NA,2023,0
"159","NDA210806",2018-08-30,1,7,"DORAVIRINE","TABLET;ORAL","PIFELTRO",1,"MSD MERCK CO","STANDARD",1,2018,0
"160","NDA022106",2007-10-12,1,7,"DORIPENEM","INJECTABLE;INTRAVENOUS","DORIBAX",3,"SHIONOGI INC","STANDARD",0,2007,0
"161","NDA022425",2009-07-01,1,7,"DRONEDARONE HYDROCHLORIDE","TABLET;ORAL","MULTAQ",1,"SANOFI AVENTIS US","PRIORITY",0,2009,1
"162","NDA214154",2021-04-15,1,8,"DROSPIRENONE; ESTETROL","TABLET;ORAL","NEXTSTELLIS",1,"MAYNE PHARMA","STANDARD",0,2021,0
"163","NDA203202",2014-02-18,1,7,"DROXIDOPA","CAPSULE;ORAL","NORTHERA",1,"LUNDBECK NA LTD","PRIORITY",0,2014,1
